    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -843.4318        4368.0864        2505.9148        1304.1379        2433.0442        3780.5620        -292.3918         948.8961        -315.5636
       1        -843.6648        4368.0864        2221.1401        1371.4194        1481.2528        3810.7480        -221.2897         544.4341        -182.8256
       2        -843.8156        4368.0864        1953.8434        1546.1029         416.8306        3898.5969         -77.9380          35.5669          26.7029
       3        -843.9406        4368.0864        1781.0967        1611.5831          35.5933        3696.1135         134.2425        -212.8838         184.6398
       4        -844.0527        4368.0864        1683.5446        1612.1125         402.5784        3035.9429         381.3362        -190.5416         217.1953
       5        -844.0992        4368.0864        1696.8486        1775.0059        1016.7021        2298.8381         544.8436        -181.5473         183.4274
       6        -844.1218        4368.0864        1697.9830        1786.0293         969.4247        2338.4954         517.8270        -219.7896         187.5092
       7        -844.1531        4368.0864        1706.4980        1805.4441         899.3657        2414.6846         468.6090        -284.6342         192.5843
       8        -844.1775        4368.0864        1729.6382        1822.3872         848.7517        2517.7756         405.0803        -353.8933         192.2931
       9        -844.1909        4368.0864        1767.0205        1811.5576         864.8967        2624.6072         338.1248        -396.5807         177.9899
      10        -844.2024        4368.0864        1807.9574        1752.8676         964.4441        2706.5605         278.8178        -392.2058         145.9138
      11        -844.2189        4368.0864        1842.5303        1645.4198        1133.6871        2748.4841         232.4908        -340.3265          98.4848
      12        -844.2379        4368.0864        1865.9496        1505.0225        1343.8401        2748.9861         199.5510        -254.3752          41.9270
      13        -844.2535        4368.0864        1876.3942        1343.3464        1574.8619        2710.9744         174.5113        -148.3017         -20.3740
      14        -844.2648        4368.0864        1866.3092        1203.5079        1745.2615        2650.1580         148.4412         -68.5128         -71.9695
      15        -844.2841        4368.0864        1828.5348        1120.9960        1773.7167        2590.8916         112.3773         -59.7392         -97.5669
      16        -844.3158        4368.0864        1761.3652        1115.9879        1618.0372        2550.0706          68.9291        -141.2657         -88.8243
      17        -844.3439        4368.0864        1674.4995        1177.9769        1320.3572        2525.1646          41.8430        -279.0632         -50.5731
      18        -844.3716        4368.0864        1579.3380        1214.1909        1065.3110        2458.5122          69.2283        -351.0689         -18.5402
      19        -844.4107        4368.0864        1491.6475        1174.1725         994.3824        2306.3875         160.0839        -285.5711         -28.1623
      20        -844.4408        4368.0864        1452.2217        1168.0057        1074.6381        2114.0210         267.5765        -163.2509         -78.5422
      21        -844.4814        4368.0864        1450.7235        1283.5265        1062.8767        2005.7671         274.7202        -182.1206        -109.4623
      22        -844.5159        4368.0864        1457.6383        1315.0410        1052.1644        2005.7094         176.6683        -288.2651        -114.8751
      23        -844.5619        4368.0864        1396.5231         942.2001        1329.8444        1917.5249         188.3904        -186.8003        -172.0177
      24        -844.5978        4368.0864        1280.4171         647.5359        1368.3724        1825.3433         225.6357        -195.3918        -131.2877
      25        -844.6340        4368.0864        1130.2399         631.9880         995.7124        1763.0192          33.1045        -383.8261          13.7564
      26        -844.6483        4368.0864        1128.5836         599.8715        1075.0782        1710.8010         114.3095        -303.3246         -40.5234
      27        -844.6493        4368.0864        1143.9144         599.4586        1177.1533        1655.1312         227.5337        -194.3219        -114.1247
      28        -844.6510        4368.0864        1146.1812         615.9035        1160.6082        1662.0316         218.9560        -203.8208        -108.9343
      29        -844.6537        4368.0864        1150.8141         647.0551        1130.7906        1674.5968         203.3860        -220.7942         -99.7056
      30        -844.6559        4368.0864        1157.8182         689.4990        1093.7269        1690.2288         183.8495        -241.3318         -88.6675
      31        -844.6571        4368.0864        1166.5535         737.2437        1058.0432        1704.3735         165.0932        -259.4236         -79.3961
      32        -844.6580        4368.0864        1175.2888         781.2718        1032.6840        1711.9106         152.4364        -268.9477         -75.4909
      33        -844.6595        4368.0864        1182.4310         815.4661        1021.3251        1710.5016         148.4725        -267.5427         -78.2835
      34        -844.6620        4368.0864        1187.2134         837.4201        1023.9799        1700.2400         153.6342        -255.5193         -87.4553
      35        -844.6658        4368.0864        1189.6647         847.7084        1040.5460        1680.7399         168.7620        -232.2818        -103.3359
      36        -844.6694        4368.0864        1189.6904         846.6860        1067.3838        1655.0013         192.4002        -201.1273        -123.4421
      37        -844.6728        4368.0864        1187.6132         840.7087        1090.2051        1631.9258         216.4304        -173.3903        -140.1286
      38        -844.6770        4368.0864        1183.8280         839.9181        1090.3580        1621.2080         228.0957        -163.4247        -144.4373
      39        -844.6834        4368.0864        1178.2747         849.0917        1059.1378        1626.5945         218.3409        -178.8012        -131.7213
      40        -844.6904        4368.0864        1170.7001         861.8874        1008.0693        1642.1432         187.0759        -214.0873        -105.1075
      41        -844.6976        4368.0864        1158.2377         850.2771         981.2275        1643.2084         157.3109        -238.7038         -83.8744
      42        -844.7076        4368.0864        1138.5366         797.2711        1003.5193        1614.8196         157.0713        -229.9444         -82.9378
      43        -844.7180        4368.0864        1116.2842         728.4467        1043.7004        1576.7056         189.2831        -204.3450         -91.4126
      44        -844.7308        4368.0864        1099.1229         715.6707        1008.6302        1573.0680         197.5901        -222.8629         -71.4489
      45        -844.7448        4368.0864        1086.8827         761.8060         921.1896        1577.6526         163.9112        -268.5897         -37.3700
      46        -844.7622        4368.0864        1062.4825         751.3854         935.2634        1500.7990         189.3170        -228.8119         -65.7511
      47        -844.7808        4368.0864        1033.0094         737.2431         920.9534        1440.8317         254.1288        -193.1369         -85.7994
      48        -844.8013        4368.0864        1003.1662         776.9709         783.9855        1448.5420         168.9520        -260.4571         -42.5844
      49        -844.8239        4368.0864         946.2441         627.6703         906.1442        1304.9177         268.9005        -159.7753        -128.8812
      50        -844.8403        4368.0864         924.3276         717.9603         621.9833        1433.0392         131.3239        -341.0122          25.2744
      51        -844.8558        4368.0864         907.5937         623.5972         777.6239        1321.5598         203.8910        -236.7388         -74.7002
      52        -844.8466        4368.0864         907.0927         552.2388         947.6898        1221.3496         285.7153        -132.0192        -171.9352
      53        -844.8514        4368.0864         907.5979         571.6658         909.2251        1241.9028         270.6747        -154.2642        -150.7923
      54        -844.8569        4368.0864         909.8450         607.2692         842.9268        1279.3391         244.1248        -193.5608        -113.3228
      55        -844.8586        4368.0864         914.8023         651.9282         766.6398        1325.8391         212.2756        -240.4312         -68.4259
      56        -844.8588        4368.0864         914.7503         651.2491         767.9591        1325.0426         212.6543        -239.6918         -69.1690
      57        -844.8588        4368.0864         914.6556         649.9393         770.5253        1323.5023         213.4021        -238.2444         -70.6066
      58        -844.8590        4368.0864         914.5283         648.1176         774.1606        1321.3066         214.4628        -236.1955         -72.6467
      59        -844.8593        4368.0864         914.3777         645.9106         778.6083        1318.6141         215.7791        -233.6915         -75.1476
      60        -844.8595        4368.0864         914.2208         643.5201         783.5181        1315.6241         217.2621        -230.9240         -77.9166
      61        -844.8598        4368.0864         914.0775         641.2104         788.4608        1312.5610         218.8117        -228.1276         -80.7280
      62        -844.8601        4368.0864         913.9538         639.1913         792.9924        1309.6776         220.3026        -225.5611         -83.3331
      63        -844.8605        4368.0864         913.8340         637.5585         796.9958        1306.9480         221.7507        -223.2630         -85.7088
      64        -844.8610        4368.0864         913.7252         636.6773         799.7842        1304.7140         222.9835        -221.5995         -87.5009
      65        -844.8616        4368.0864         913.6022         636.8890         800.5952        1303.3226         223.8197        -220.9698         -88.3223
      66        -844.8623        4368.0864         913.3987         638.4420         798.7534        1303.0011         224.0713        -221.7105         -87.8680
      67        -844.8633        4368.0864         912.9836         641.2415         794.0002        1303.7092         223.6629        -223.9334         -86.0602
      68        -844.8645        4368.0864         912.1616         644.6798         786.8898        1304.9153         222.6959        -227.2705         -83.2742
      69        -844.8660        4368.0864         910.5850         647.3065         779.1638        1305.2847         221.5870        -230.7013         -80.5680
      70        -844.8677        4368.0864         907.8538         647.1281         773.4688        1302.9646         221.0637        -232.6529         -79.5465
