    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0       -1012.3415        4928.2438         757.9409         708.9178         983.2119         581.6930         -69.3148         245.2040        -206.8180
       1       -1012.3501        4928.2438         818.1052         834.6071        1081.2681         538.4401        -118.4952         238.7422        -180.1860
       2       -1012.3542        4928.2438         870.8851         965.4987        1165.6512         481.5052        -137.9408         237.7500        -147.4022
       3       -1012.3561        4928.2438         853.3906         938.2052        1141.3295         480.6370        -118.3819         241.1762        -152.1175
       4       -1012.3585        4928.2438         823.8458         891.9884        1100.9471         478.6018         -86.4901         247.2103        -160.5658
       5       -1012.3604        4928.2438         791.5823         841.4924        1058.7047         474.5497         -54.6331         254.3490        -170.9455
       6       -1012.3620        4928.2438         767.0779         803.6486        1030.1183         467.4669         -35.7905         260.5990        -180.6457
       7       -1012.3644        4928.2438         755.8029         787.8903        1022.5605         456.9580         -35.3661         264.5195        -187.5618
       8       -1012.3677        4928.2438         758.0922         795.6629        1035.4803         443.1332         -51.8752         265.5144        -190.6840
       9       -1012.3713        4928.2438         770.4426         821.9896        1062.4285         426.9098         -78.5394         263.6542        -189.7715
      10       -1012.3746        4928.2438         786.5522         857.6976        1093.2549         408.7042        -104.6541         259.0019        -184.7618
      11       -1012.3782        4928.2438         791.7686         877.3559        1104.7299         393.2201        -107.9394         253.0551        -177.5291
      12       -1012.3828        4928.2438         776.4395         860.8471        1082.7404         385.7312         -76.4445         247.6749        -171.0114
      13       -1012.3871        4928.2438         747.4149         813.0566        1038.6606         390.5273         -25.5692         244.3157        -168.4661
      14       -1012.3912        4928.2438         735.3249         783.5723        1018.5444         403.8579          -8.4306         242.4916        -170.9012
      15       -1012.3962        4928.2438         752.6694         801.6961        1040.4915         415.8206         -46.0758         239.6781        -174.8578
      16       -1012.4003        4928.2438         769.9577         826.2932        1066.3436         417.2364         -90.0718         231.6233        -171.9900
      17       -1012.4054        4928.2438         738.3709         764.7273        1030.4191         419.9664         -51.0347         220.7323        -158.5510
      18       -1012.4099        4928.2438         720.4160         720.5820        1002.3036         438.3624          -5.3792         215.9992        -141.4409
      19       -1012.4161        4928.2438         764.0530         808.7688        1037.7190         445.6714         -56.4881         220.9113        -139.2570
      20       -1012.4229        4928.2438         728.9680         757.7272        1011.0220         418.1549         -48.2634         219.4844        -137.3356
      21       -1012.4304        4928.2438         695.9627         695.0595         988.0362         404.7925         -34.6671         224.7341        -134.2787
      22       -1012.4385        4928.2438         768.3845         863.8794        1021.1072         420.1670         -88.2939         219.0391        -146.8574
      23       -1012.4353        4928.2438         602.0970         453.5443         942.5342         410.2127          63.2320         181.3349         -72.8613
      24       -1012.4500        4928.2438         713.7519         740.4610         982.5718         418.2230         -44.0082         201.3902        -131.2982
      25       -1012.4385        4928.2438         843.0801        1070.0912        1029.8248         429.3242        -166.9635         226.8926        -200.6335
      26       -1012.4447        4928.2438         807.2900         977.9565        1017.9379         425.9756        -133.9676         220.8449        -181.8508
      27       -1012.4506        4928.2438         748.8987         827.3298         998.8144         420.5521         -80.0371         210.9629        -151.0100
      28       -1012.4508        4928.2438         687.0786         667.4190         979.1224         414.6943         -22.8195         200.4910        -118.0037
      29       -1012.4509        4928.2438         689.0869         672.6344         979.8079         414.8181         -24.6372         200.8159        -119.0755
      30       -1012.4512        4928.2438         692.9874         682.7578         981.1543         415.0501         -28.1709         201.4421        -121.1610
      31       -1012.4514        4928.2438         698.5633         697.2209         983.0754         415.3937         -33.1959         202.3389        -124.1331
      32       -1012.4517        4928.2438         705.4446         715.0820         985.4470         415.8049         -39.3990         203.4377        -127.8150
      33       -1012.4521        4928.2438         713.1496         735.0715         988.1150         416.2621         -46.2903         204.6668        -131.9417
      34       -1012.4523        4928.2438         720.9355         755.2735         990.8270         416.7061         -53.1982         205.9034        -136.1148
      35       -1012.4524        4928.2438         727.8283         773.1625         993.2685         417.0540         -59.2361         206.9795        -139.8062
      36       -1012.4525        4928.2438         733.4808         787.8520         995.3259         417.2646         -64.0806         207.8355        -142.8490
      37       -1012.4528        4928.2438         736.9269         796.8167         996.7209         417.2433         -66.8573         208.3235        -144.6952
      38       -1012.4531        4928.2438         737.2784         797.7570         997.1772         416.9008         -66.8161         208.2952        -144.8557
      39       -1012.4536        4928.2438         733.9268         789.0464         996.5587         416.1754         -63.4373         207.6747        -142.9641
      40       -1012.4542        4928.2438         726.8002         770.4904         994.9049         415.0053         -56.7584         206.4682        -138.9572
      41       -1012.4548        4928.2438         717.1151         745.2017         992.6976         413.4458         -47.9575         204.9138        -133.4679
      42       -1012.4556        4928.2438         708.2839         722.0601         991.0549         411.7368         -40.1501         203.6161        -128.4035
      43       -1012.4564        4928.2438         704.3413         711.6373         991.1597         410.2270         -36.8441         203.2367        -126.1102
      44       -1012.4577        4928.2438         707.7854         720.5720         993.5902         409.1940         -39.9891         204.1223        -128.1606
      45       -1012.4591        4928.2438         717.9599         747.2509         997.9626         408.6661         -48.6462         206.0322        -134.3551
      46       -1012.4607        4928.2438         727.3076         771.9357        1002.0845         407.9024         -56.1596         207.5402        -140.2406
      47       -1012.4628        4928.2438         725.3052         766.8116        1003.4100         405.6938         -54.2525         206.8770        -139.1163
      48       -1012.4653        4928.2438         711.0007         729.1234        1002.2796         401.5991         -43.3438         204.1257        -129.7457
      49       -1012.4683        4928.2438         702.2230         706.0499        1002.8383         397.7809         -37.9673         202.5288        -123.5365
      50       -1012.4720        4928.2438         712.0115         732.7864        1006.8483         396.3996         -46.4622         203.8975        -130.3378
      51       -1012.4766        4928.2438         720.5952         756.3920        1010.7009         394.6925         -53.8249         204.3403        -136.9476
      52       -1012.4823        4928.2438         699.1431         698.4597        1012.2197         386.7497         -44.8040         199.9493        -120.0015
      53       -1012.4894        4928.2438         699.6113         699.7213        1016.3645         382.7484         -49.2834         198.5891        -120.2037
      54       -1012.4980        4928.2438         712.6594         735.1227        1021.0586         381.7968         -56.9245         196.2605        -131.9537
      55       -1012.5077        4928.2438         663.3514         600.8959        1029.7355         359.4229         -52.9153         189.6965         -84.8359
      56       -1012.5194        4928.2438         742.5850         808.2114        1035.0498         384.4937         -56.6579         182.5358        -168.4859
      57       -1012.5177        4928.2438         557.8074         321.8803        1059.3921         292.1497        -102.2413         193.8749          35.6135
      58       -1012.5362        4928.2438         683.0163         643.0411        1053.1709         352.8368         -65.7939         177.4088        -105.7077
      59       -1012.5210        4928.2438         833.1765        1021.8771        1050.8529         426.7993         -20.0101         156.6690        -272.3816
      60       -1012.5292        4928.2438         791.1292         915.2776        1052.2332         405.8767         -32.9787         162.3408        -225.8989
      61       -1012.5369        4928.2438         723.5469         743.4408        1054.8293         372.3704         -54.2413         171.6062        -150.7148
      62       -1012.5366        4928.2438         653.3036         564.5646        1057.9473         337.3990         -77.1201         181.6649         -72.1006
      63       -1012.5368        4928.2438         655.7332         570.7653        1057.8413         338.5929         -76.3464         181.3059         -74.8535
      64       -1012.5372        4928.2438         660.4543         582.8152        1057.6279         340.9197         -74.8258         180.6071         -80.2060
      65       -1012.5376        4928.2438         667.2109         600.0445        1057.3438         344.2444         -72.6504         179.5983         -87.8633
      66       -1012.5381        4928.2438         675.5818         621.3685        1057.0015         348.3757         -69.9358         178.3409         -97.3494
      67       -1012.5385        4928.2438         684.9844         645.2852        1056.6488         353.0191         -66.8673         176.9167        -107.9917
      68       -1012.5386        4928.2438         694.5078         669.4703        1056.3416         357.7118         -63.7280         175.4389        -118.7882
      69       -1012.5388        4928.2438         702.8746         690.6617        1056.1339         361.8281         -60.9309         174.1042        -128.2846
      70       -1012.5390        4928.2438         709.6338         707.7079        1056.0632         365.1303         -58.6306         172.9687        -135.9924
      71       -1012.5391        4928.2438         713.6351         717.7183        1056.1556         367.0313         -57.2277         172.2087        -140.6339
      72       -1012.5395        4928.2438         713.8908         718.1811        1056.4547         367.0367         -57.1006         171.9929        -141.0873
      73       -1012.5402        4928.2438         709.6762         707.3146        1056.9592         364.7548         -58.5817         172.4727        -136.5555
