    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -717.6733        3528.0932        5009.5728        1591.2869        1913.8425       11523.5889        -153.1546         459.8806        -934.8829
       1        -719.7285        3528.0932        4140.2773        1683.7848        1557.2517        9179.7959          54.4424         453.8393          15.4159
       2        -720.0680        3528.0932        4269.7358        1823.8678        1832.9950        9152.3447         275.9017         371.7524         916.9161
       3        -720.1339        3528.0932        4080.1699        1758.7821        1685.1001        8796.6270         218.2852         247.5864         800.6956
       4        -720.2296        3528.0932        3748.8391        1640.8276        1438.7762        8166.9136         122.0052          41.4246         598.1132
       5        -720.3152        3528.0932        3343.2258        1493.0349        1167.9142        7368.7285          14.7615        -187.8269         350.4506
       6        -720.3746        3528.0932        2926.3621        1348.7086         945.3339        6485.0435         -77.3907        -390.4052          94.7094
       7        -720.4149        3528.0932        2548.1375        1237.7427         813.6261        5593.0439        -138.3362        -539.2901        -137.7184
       8        -720.4487        3528.0932        2236.5977        1171.2188         770.1779        4768.3960        -165.8427        -631.7167        -322.7725
       9        -720.4833        3528.0932        2001.4613        1143.4871         791.9362        4068.9602        -165.4041        -675.7812        -447.2916
      10        -720.5244        3528.0932        1829.5990        1143.7963         862.8099        3482.1904        -142.5979        -680.9990        -512.3158
      11        -720.5713        3528.0932        1730.7670        1161.7743         960.9097        3069.6167        -106.3952        -651.6393        -510.9653
      12        -720.6227        3528.0932        1705.9984        1183.7000        1052.6610        2881.6340         -70.6917        -595.7046        -447.9406
      13        -720.6765        3528.0932        1745.0016        1198.2639        1096.5858        2940.1550         -47.9979        -516.0771        -334.8899
      14        -720.7208        3528.0932        1844.1206        1208.4526        1070.2432        3253.6660         -37.2560        -399.5986        -180.5753
      15        -720.7411        3528.0932        1992.8770        1249.1681        1045.2830        3684.1799          -8.6998        -214.7150          -9.9263
      16        -720.7447        3528.0932        1985.6989        1257.1179        1061.0463        3638.9324          -3.5474        -206.5094         -18.3797
      17        -720.7506        3528.0932        1972.3177        1271.3285        1090.1498        3555.4751           5.8230        -191.6632         -34.0705
      18        -720.7571        3528.0932        1954.0034        1288.4650        1128.0973        3445.4480          17.4736        -173.3644         -55.1451
      19        -720.7627        3528.0932        1931.3624        1304.1128        1168.5798        3321.3948          28.6177        -156.6185         -79.8985
      20        -720.7673        3528.0932        1904.4008        1313.4188        1204.1716        3195.6116          35.9576        -147.3275        -106.7928
      21        -720.7717        3528.0932        1873.5914        1313.5564        1228.7926        3078.4255          37.1969        -149.1616        -134.0833
      22        -720.7767        3528.0932        1840.4225        1304.2577        1239.5858        2977.4243          32.0779        -161.9777        -159.6172
      23        -720.7828        3528.0932        1804.0322        1284.8856        1235.5076        2891.7039          20.6250        -185.0138        -182.6938
      24        -720.7896        3528.0932        1769.7196        1257.4213        1216.5662        2835.1714           5.1625        -212.6029        -197.5660
      25        -720.7963        3528.0932        1746.4889        1228.5463        1188.9749        2821.9458          -8.8398        -233.0414        -196.5874
      26        -720.8033        3528.0932        1743.6383        1209.5215        1168.4575        2852.9360         -13.4542        -231.3787        -174.9463
      27        -720.8124        3528.0932        1765.3790        1210.2659        1172.1837        2913.6875          -2.8796        -197.5437        -133.8676
      28        -720.8231        3528.0932        1811.5170        1233.4366        1208.8138        2992.3005          24.1068        -129.5170         -75.9653
      29        -720.8333        3528.0932        1872.1010        1268.1729        1264.7463        3083.3835          57.9645         -46.9444          -6.9009
      30        -720.8439        3528.0932        1912.3295        1288.7090        1290.0511        3158.2278          73.3678          -8.0520          53.7526
      31        -720.8571        3528.0932        1897.9678        1284.5509        1249.3679        3159.9846          55.6915         -50.5281          84.2324
      32        -720.8704        3528.0932        1816.6989        1278.3586        1165.3573        3006.3811          21.0749        -140.6451          68.9003
      33        -720.8863        3528.0932        1710.1523        1306.1105        1133.9269        2690.4197           3.9205        -196.4080          16.5962
      34        -720.9009        3528.0932        1637.4083        1342.5999        1174.9884        2394.6367           0.5450        -219.3567         -29.7934
      35        -720.9207        3528.0932        1587.5094        1310.0775        1150.1888        2302.2620         -22.2461        -271.4733         -28.3171
      36        -720.9418        3528.0932        1563.9486        1241.8331        1096.7344        2353.2781          -9.1083        -208.0851          37.7900
      37        -720.9624        3528.0932        1549.4108        1226.4572        1176.2571        2245.5178          64.3412          -3.4687          84.2317
      38        -720.9855        3528.0932        1437.1237        1096.2382        1114.4044        2100.7288          15.7176         -99.8962          52.8580
      39        -720.9993        3528.0932        1269.8823        1149.4547        1151.1188        1509.0736          45.9139          33.9891         -92.5533
      40        -721.0151        3528.0932        1272.0831        1079.1967        1140.0521        1597.0009          30.0387         -54.8771         -65.7782
      41        -721.0156        3528.0932        1275.1318        1082.5791        1133.3458        1609.4708          28.4643         -55.4985         -61.7467
      42        -721.0165        3528.0932        1281.3385        1088.8136        1121.8726        1633.3293          25.9291         -56.5542         -53.8455
      43        -721.0173        3528.0932        1290.6630        1096.6107        1109.3221        1666.0559          23.6205         -57.7641         -42.5735
      44        -721.0181        3528.0932        1302.2417        1104.0079        1099.9945        1702.7225          22.8510         -58.8520         -29.1316
      45        -721.0191        3528.0932        1314.5549        1109.6099        1096.5444        1737.5105          24.4336         -59.5638         -15.2216
      46        -721.0204        3528.0932        1325.9447        1113.2509        1099.1222        1765.4609          28.2158         -59.7367          -2.4514
      47        -721.0219        3528.0932        1334.7827        1115.9467        1105.3876        1783.0140          33.2366         -59.4090           7.7892
      48        -721.0234        3528.0932        1339.6506        1119.3124        1111.1093        1788.5303          38.1439         -59.2315          14.8709
      49        -721.0253        3528.0932        1337.8492        1124.2308        1108.7609        1780.5559          39.9657         -61.5130          17.4310
      50        -721.0278        3528.0932        1327.4987        1129.5039        1093.1067        1759.8853          36.1023         -70.2631          14.6570
      51        -721.0306        3528.0932        1308.6265        1130.7179        1066.3793        1728.7822          26.1687         -89.5787           6.6584
      52        -721.0341        3528.0932        1285.0461        1122.4886        1042.5367        1690.1130          14.8684        -117.6522          -4.5371
