    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -729.5277        3528.0932         510.0155         761.8965        1269.0387        -500.8888           7.5780         -16.8909         -45.2249
       1        -729.5282        3528.0932         542.6200         837.7784        1277.5851        -487.5035          15.9297         -21.6420         -28.4909
       2        -729.5286        3528.0932         573.0645         897.4689        1289.4241        -467.6996          22.5276         -30.0237         -11.5576
       3        -729.5295        3528.0932         568.7713         863.3071        1296.4578        -453.4510          19.5925         -38.0039         -10.9551
       4        -729.5305        3528.0932         542.1601         783.7877        1293.8917        -451.1991          12.6338         -39.9091         -21.1943
       5        -729.5317        3528.0932         532.9096         772.4454        1283.5580        -457.2747          11.6460         -33.2161         -21.3115
       6        -729.5332        3528.0932         548.0422         834.3920        1271.9650        -462.2304          14.2344         -22.7129          -6.8704
       7        -729.5347        3528.0932         556.9310         862.7032        1266.6438        -458.5544          10.2164         -16.6386           2.7808
       8        -729.5369        3528.0932         543.2086         803.6169        1271.9424        -445.9334          -1.2983         -18.8304          -7.2443
       9        -729.5394        3528.0932         547.4884         789.6923        1283.2826        -430.5097          -6.8714         -22.8068         -12.6395
      10        -729.5427        3528.0932         575.7332         873.2057        1283.8650        -429.8713          -6.6691         -17.6688           5.2165
      11        -729.5470        3528.0932         530.0911         782.2109        1266.7163        -458.6541          -9.6148          -5.0539         -16.8008
      12        -729.5525        3528.0932         542.4620         836.2054        1253.4718        -462.2914          -9.3023          -0.2537          11.9922
      13        -729.5590        3528.0932         509.5658         734.7087        1272.7817        -478.7932           0.6007          -9.3986         -22.8673
      14        -729.5659        3528.0932         592.8718         971.4999        1259.6146        -452.4991         -26.2992          -9.4852          82.5985
      15        -729.5436        3528.0932         240.4324         197.6593        1230.0072        -706.3694          88.8363          81.5946        -293.2515
      16        -729.5786        3528.0932         530.8362         848.7086        1248.4230        -504.6230         -27.6178          14.3435          42.0365
      17        -729.5789        3528.0932         523.3094         830.3076        1249.0276        -509.4070         -24.1040          15.7524          32.1866
      18        -729.5792        3528.0932         511.1060         800.2802        1250.1617        -517.1238         -18.2885          18.0803          16.0218
      19        -729.5795        3528.0932         499.2525         770.6277        1251.7128        -524.5828         -12.4395          20.3649          -0.0784
      20        -729.5799        3528.0932         493.0328         753.9406        1253.4493        -528.2916          -9.0177          21.6077          -9.3322
      21        -729.5804        3528.0932         494.5974         755.4924        1254.9999        -526.7002          -9.2425          21.3850          -8.6501
      22        -729.5812        3528.0932         503.0674         773.4532        1256.0735        -520.3245         -12.9811          19.8855           1.2972
      23        -729.5819        3528.0932         514.7994         799.5823        1256.3778        -511.5620         -18.8356          17.9458          16.3846
      24        -729.5829        3528.0932         524.3511         821.7150        1255.4155        -504.0769         -24.5451          16.9479          30.2340
      25        -729.5840        3528.0932         523.8733         822.4166        1252.9553        -503.7520         -26.2831          18.8014          33.0207
      26        -729.5857        3528.0932         510.8854         796.5189        1249.3917        -513.2545         -22.3365          24.2219          20.9091
      27        -729.5875        3528.0932         495.0605         765.2665        1246.1332        -526.2181         -16.7281          30.5570           4.8423
      28        -729.5898        3528.0932         492.4286         763.7944        1242.6445        -529.1530         -20.4629          33.4653           7.5914
