    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
       0        -999.9871        4466.5536        1923.3270        2161.1680        3071.9548         536.8578         752.7213         654.9616        -395.3023
       1       -1000.4855        4466.5536        1772.5646        2239.8101        2961.9341         115.9497         296.2334         553.4497        -217.0481
       2       -1000.7833        4466.5536        1992.6534        2735.4956        3084.8250         157.6402        -154.8194         479.9430         -26.5151
       3       -1000.9017        4466.5536        2392.2234        3230.3052        3108.1758         838.1894        -242.9128         204.1390        -204.2792
       4       -1000.9779        4466.5536        2325.3125        3136.7700        3003.8787         835.2890        -158.4409         137.4035        -286.4100
       5       -1001.0919        4466.5536        2231.2922        3001.0850        2841.7786         851.0138           9.2912          30.1224        -427.2007
       6       -1001.1924        4466.5536        2168.8279        2898.9617        2694.5537         912.9680         249.9875         -76.1123        -589.4473
       7       -1001.2495        4466.5536        2185.6853        2895.4028        2630.3823        1031.2710         529.4651        -141.6090        -733.1996
       8       -1001.2744        4466.5536        2279.6599        2996.2590        2666.2559        1176.4647         775.9526        -154.7794        -829.3951
       9       -1001.3019        4466.5536        2401.9778        3144.7104        2755.0732        1306.1501         929.2113        -143.5335        -878.3323
      10       -1001.3552        4466.5536        2507.3494        3283.4385        2839.7288        1398.8813         965.2783        -140.0340        -890.9009
      11       -1001.4426        4466.5536        2577.5515        3386.8081        2883.1963        1462.6504         878.0130        -164.9160        -871.3840
      12       -1001.5441        4466.5536        2599.6389        3428.8684        2849.3064        1520.7422         681.9429        -224.5545        -821.2947
      13       -1001.6279        4466.5536        2572.2844        3387.9072        2718.5828        1610.3633         433.6853        -303.6983        -761.6071
      14       -1001.6870        4466.5536        2492.9651        3240.3013        2511.5635        1727.0303         223.6196        -366.0522        -748.0686
      15       -1001.7504        4466.5536        2362.2957        3010.7593        2290.0383        1786.0887         123.5844        -372.1034        -801.4880
      16       -1001.8362        4466.5536        2218.4241        2818.7632        2131.5613        1704.9476         179.2033        -292.4104        -842.3388
      17       -1001.9187        4466.5536        2160.0801        2812.8403        2117.2991        1550.1007         321.4561        -149.4977        -781.1028
      18       -1001.9858        4466.5536        2203.3442        2931.4973        2132.5703        1545.9655         289.5991        -123.8328        -698.2601
      19       -1002.0594        4466.5536        2177.6233        2888.2683        1959.5271        1685.0746          10.6281        -289.7885        -650.0795
      20       -1002.1265        4466.5536        1992.7238        2533.7983        1817.4553        1626.9174        -262.8586        -325.6930        -596.1535
      21       -1002.1932        4466.5536        1820.8566        2162.5305        2045.8918        1254.1476        -307.1801         -44.8071        -578.2704
      22       -1002.2408        4466.5536        1826.5972        2109.3098        2159.9885        1210.4930        -128.6647        -127.8217        -650.2068
      23       -1002.2617        4466.5536        1822.6920        2138.1284        2109.9902        1219.9575        -114.1780        -184.0215        -631.6373
      24       -1002.2817        4466.5536        1836.8916        2209.3396        2051.2317        1250.1034         -92.1166        -265.3897        -600.5394
      25       -1002.2900        4466.5536        1882.1157        2310.0613        2034.4771        1301.8090         -77.9306        -326.8557        -573.9581
      26       -1002.3002        4466.5536        1932.4323        2382.8113        2065.4448        1349.0413         -78.2542        -343.6509        -572.0753
      27       -1002.3209        4466.5536        1957.1494        2390.2209        2114.0474        1367.1799         -78.6675        -320.6083        -599.1348
      28       -1002.3447        4466.5536        1942.2401        2336.7129        2144.0269        1345.9806         -54.8915        -275.0681        -641.9815
      29       -1002.3634        4466.5536        1888.5424        2255.6335        2121.3955        1288.5974           2.7447        -235.1455        -678.8889
      30       -1002.3808        4466.5536        1809.9862        2188.1355        2032.3033        1209.5195          70.4033        -230.9538        -693.2180
      31       -1002.4003        4466.5536        1755.9711        2192.1255        1923.1820        1152.6053          89.5286        -273.5257        -665.6053
      32       -1002.4221        4466.5536        1780.5765        2285.1685        1891.4900        1165.0713          24.0289        -323.0154        -595.6842
      33       -1002.4440        4466.5536        1864.7906        2376.4199        1977.8236        1240.1285         -83.0425        -322.9003        -565.3389
      34       -1002.4662        4466.5536        1876.6705        2328.5662        2038.9305        1262.5154         -75.5329        -272.8281        -643.5847
      35       -1002.4887        4466.5536        1748.7939        2193.2637        1929.2659        1123.8525          68.3217        -243.1079        -711.5432
      36       -1002.5193        4466.5536        1649.5835        2159.8357        1798.4189         990.4960          35.0855        -275.1785        -623.9342
      37       -1002.5485        4466.5536        1657.9796        2136.9807        1784.8416        1052.1167        -117.0870        -335.6860        -526.1888
      38       -1002.5865        4466.5536        1604.8053        2061.2810        1779.0150         974.1204         141.1331        -283.5149        -675.3559
      39       -1002.6218        4466.5536        1677.9698        2110.6006        1853.2145        1070.0946          20.0411        -209.9771        -666.7151
      40       -1002.6375        4466.5536        1595.0477        2028.7698        1759.4631         996.9103          89.3250        -276.9521        -659.7300
      41       -1002.6338        4466.5536        1522.4498        1962.2004        1669.5824         935.5670         145.1342        -339.1249        -647.2437
      42       -1002.6373        4466.5536        1534.1097        1973.3496        1682.0120         946.9675         125.8503        -324.1799        -643.2713
      43       -1002.6417        4466.5536        1555.9821        1994.6580        1705.0769         968.2115          91.5583        -297.8795        -637.1023
      44       -1002.6441        4466.5536        1584.2666        2023.0079        1734.3433         995.4485          50.2165        -267.0148        -631.5482
      45       -1002.6440        4466.5536        1609.6479        2049.5674        1759.6234        1019.7529          15.0272        -242.5501        -629.5151
      46       -1002.6443        4466.5536        1607.9365        2047.9513        1757.7074        1018.1509          17.1777        -244.4175        -630.0393
      47       -1002.6448        4466.5536        1604.6372        2044.8324        1754.0187        1015.0607          21.3634        -248.0243        -631.0642
      48       -1002.6455        4466.5536        1599.9800        2040.4315        1748.8156        1010.6927          27.3207        -253.1218        -632.5419
      49       -1002.6462        4466.5536        1594.3130        2035.0952        1742.4624        1005.3814          34.6842        -259.3330        -634.3975
      50       -1002.6469        4466.5536        1588.0731        2029.2229        1735.4384         999.5581          42.9137        -266.1327        -636.5216
      51       -1002.6476        4466.5536        1581.8071        2023.3260        1728.3771         993.7183          51.3282        -272.8504        -638.7278
      52       -1002.6482        4466.5536        1576.1293        2017.9803        1721.9413         988.4660          59.0792        -278.7516        -640.7955
      53       -1002.6489        4466.5536        1571.1346        2013.2627        1716.2179         983.9235          65.9321        -283.5020        -642.6664
      54       -1002.6497        4466.5536        1567.5702        2009.8556        1712.0386         980.8163          70.6967        -286.1441        -643.9986
      55       -1002.6508        4466.5536        1566.1144        2008.3450        1710.1503         979.8483          72.1412        -285.7468        -644.4597
      56       -1002.6523        4466.5536        1567.3169        2009.2303        1711.1285         981.5919          69.1571        -281.6646        -643.7915
      57       -1002.6544        4466.5536        1571.4014        2012.7245        1715.1810         986.2984          61.0500        -273.8121        -641.9410
      58       -1002.6566        4466.5536        1577.8013        2018.3103        1721.5981         993.4952          48.1895        -263.2683        -639.2432
      59       -1002.6591        4466.5536        1584.4420        2024.0964        1728.0192        1001.2107          33.1508        -252.9941        -636.6623
      60       -1002.6620        4466.5536        1587.6102        2026.5708        1730.4487        1005.8109          21.1725        -247.2818        -635.5514
      61       -1002.6656        4466.5536        1583.9272        2022.4034        1725.5641        1003.8142          17.8336        -249.0311        -636.8729
      62       -1002.6702        4466.5536        1572.7181        2010.7289        1713.3074         994.1182          26.2098        -257.2109        -640.6616
      63       -1002.6752        4466.5536        1558.7119        1995.7366        1699.8005         980.5988          42.3919        -264.5826        -645.0759
      64       -1002.6811        4466.5536        1551.1215        1985.6744        1695.6060         972.0839          52.1357        -261.1016        -646.4211
      65       -1002.6882        4466.5536        1553.7252        1983.7878        1704.2013         973.1865          43.6086        -247.0598        -643.1569
      66       -1002.6964        4466.5536        1556.5551        1981.3663        1713.0345         975.2643          25.0013        -239.3889        -640.0189
      67       -1002.7061        4466.5536        1540.1119        1961.1002        1701.3600         957.8755          30.0137        -251.5261        -643.1477
      68       -1002.7172        4466.5536        1511.6564        1930.5593        1680.8337         923.5760          64.8235        -260.4947        -647.6744
      69       -1002.7306        4466.5536        1504.5126        1919.4357        1689.0391         905.0629          65.3443        -242.9436        -640.3091
      70       -1002.7459        4466.5536        1494.3761        1901.9181        1691.1187         890.0916          32.2710        -252.8568        -632.4696
      71       -1002.7638        4466.5536        1447.5582        1855.2975        1648.9929         838.3843          84.6177        -265.2888        -634.0237
      72       -1002.7842        4466.5536        1461.2367        1871.8840        1678.6078         833.2184          42.0450        -242.0560        -617.1971
      73       -1002.8056        4466.5536        1386.3905        1775.5834        1611.3834         772.2048          95.8469        -299.2275        -626.8712
      74       -1002.8207        4466.5536        1484.2538        1933.0438        1709.0266         810.6907           3.2781        -196.9175        -587.1588
      75       -1002.8328        4466.5536        1406.1914        1814.0409        1640.3922         764.1412          65.5213        -263.1397        -606.5663
      76       -1002.8253        4466.5536        1341.5890        1712.5748        1585.2338         726.9583         128.3268        -337.5487        -633.6974
      77       -1002.8291        4466.5536        1355.7220        1734.0022        1597.4565         735.7072         115.3329        -322.5015        -627.6481
      78       -1002.8335        4466.5536        1381.9131        1773.6702        1620.3541         751.7149          92.3350        -296.0428        -617.5111
      79       -1002.8348        4466.5536        1415.3658        1824.3501        1650.0692         771.6785          64.7368        -264.4644        -606.3325
      80       -1002.8350        4466.5536        1414.8969        1823.6937        1649.7000         771.2971          65.1621        -264.8928        -606.5387
      81       -1002.8350        4466.5536        1413.9990        1822.4384        1649.0057         770.5532          65.9727        -265.7278        -606.9408
      82       -1002.8351        4466.5536        1412.7391        1820.6604        1648.0435         769.5134          67.1428        -266.9111        -607.5165
      83       -1002.8353        4466.5536        1411.2318        1818.5258        1646.9005         768.2692          68.5651        -268.3727        -608.2147
      84       -1002.8356        4466.5536        1409.6078        1816.2175        1645.6816         766.9243          70.1577        -270.0054        -608.9825
      85       -1002.8357        4466.5536        1408.0319        1813.9288        1644.5364         765.6302          71.7827        -271.6857        -609.7484
      86       -1002.8359        4466.5536        1406.6862        1811.9237        1643.6100         764.5249          73.3086        -273.2581        -610.4363
      87       -1002.8362        4466.5536        1405.6266        1810.2643        1642.9760         763.6396          74.7174        -274.7207        -611.0172
      88       -1002.8367        4466.5536        1405.1005        1809.2648        1642.8389         763.1976          75.8279        -275.8432        -611.3824
      89       -1002.8370        4466.5536        1405.3646        1809.2806        1643.4429         763.3699          76.4262        -276.3893        -611.3851
      90       -1002.8376        4466.5536        1406.5787        1810.5776        1644.9098         764.2491          76.3357        -276.1256        -610.9011
      91       -1002.8384        4466.5536        1408.7260        1813.1631        1647.2750         765.7399          75.5066        -274.9230        -609.8916
      92       -1002.8394        4466.5536        1411.4307        1816.5995        1650.2271         767.4655          74.1248        -272.8974        -608.4275
      93       -1002.8405        4466.5536        1413.7819        1819.7535        1653.0187         768.5732          72.7488        -270.5987        -606.8185
